smiles,smiles,ratio,value
C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,0.10:0.90,68.84
O.O.O.O.O.O.[Cl-].[Cl-].[Ca+2],C[N+](C)(C)CCO.[Cl-],0.90:0.10,24.1
CC1CCC(C(C1)O)C(C)C,CC1=CC(=C(C=C1)C(C)C)O,0.65:0.35,-9.25
C[N+](C)(C)CC1=CC=CC=C1.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,0.60:0.40,16.87
CC(N(C)C)C(O)=O,OC(=O)c1ccc(Cl)cc1,1:1.5,28.0
Cl[Zn]Cl,CCN(CC)OCC.Cl ,0.75:0.25,37.32
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(C(=O)O)C(=O)O,0.50:0.50,-17.8
CC(N(C)C)C(O)=O,OC(=O)c1occc1,1:2,11.0
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,0.50:0.50,140.93
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCOCCOCCO,3:1,-12.69
C[N+](C)(C)CC1=CC=CC=C1.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,0.50:0.50,14.4
C[N+](C)(C)CCO.[Cl-],CC1CCC(C(C1)O)C(C)C,0.50:0.50,61.95
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],CC(C(=O)O)O,0.25:0.75,-24.72
C[N+](C)(C)CCO.[Cl-],C1=CC(=CC(=C1)O)O,0.20:0.80,87
CCCCCCCCCC(=O)O,CCCCCCCCCCCC(=O)O,0.60:0.40,23.16
C[N+](C)(C)CCO.[Cl-],C(C(C(CO)O)O)O,0.50:0.50,-16
CC[NH2+]C.[Cl-],C(=O)(C(F)(F)F)N,0.40:0.60,30
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,OCC(O)CO,1:2,55.76
C[N+](C)(C)CC(=O)[O-],CC1CCC(C(C1)O)C(C)C,0.30:0.70,42.05
CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.20:0.80,8.27
C(#N)[S-].[NH4+],C1CCC(=O)NCC1,0.20:0.80,-1.754
C[N+](C)(C)CC1=CC=CC=C1.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,0.40:0.60,3.08
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,0.20:0.80,-17.7
C[N+](C)(C)CC(=O)[O-],C1=CC=C(C=C1)C(=O)O,0.33:0.67,28
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCC(=O)O,0.50:0.50,100.6
Cl[Zn]Cl,C(CO)O,0.25:0.75,-23
C1CC(NC1)C(=O)O,CC1=CC(=C(C=C1)C(C)C)O,0.13:0.88,-12
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(C(CO)O)O,0.33:0.67,-6
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.20:0.80,49.69
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NC(=O)C(F)(F)F,2:0.75,77.04
Cl[Zn]Cl,CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],0.86:0.14,72.14
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N(CCO)CCO,0.25:0.75,-76
CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,CC1=CC(=C(C=C1)C(C)C)O,0.60:0.40,30.18
CC(N(C)C)C(O)=O,OC(=O)c1ccccc1O,1:1.5,63.0
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2.5:1,37.0
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(=O)CCC(=O)O,0.20:0.80,0.4
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,0.75:0.25,180.55
