smiles,smiles,ratio,value
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.33:0.67,71.67
C(#N)[S-].[K+],CC(=O)N,0.75:0.25,149.9
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,0.11:0.89,-69.29
C[N+](C)(C)CCO.[Cl-],C(CCO)CO,0.70:0.30,98.3
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.70:0.30,30.61
CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCC(=O)O,0.50:0.50,16.78
C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(=O)O,0.33:0.67,78
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCCCCCCCCCCCC(=O)O,0.20:0.80,41.35
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,OCCO,1:2,49.02
C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.07:0.93,-23.76
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CC(=O)O)C(C(=O)O)N,0.09:0.91,28.86
C[N+](C)(C)CCO.[Cl-],C(CCO)CO,0.90:0.10,240
C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,0.40:0.60,82.83
CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,CC1=CC(=C(C=C1)C(C)C)O,0.20:0.80,3.09
C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(=O)(N)N,0.33:0.67,26
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.30:0.70,21.27
C(#N)[S-].[K+],C1CCC(=O)NCC1,0.33:0.67,48.25
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.10:0.90,28.61
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:1.5,49.27
C[N+](C)(C)CCO.[Cl-],CC1CCC(C(C1)O)C(C)C,0.30:0.70,42.55
C[N+](C)(C)CCO.[Cl-],C=C(CC(=O)O)C(=O)O,0.50:0.50,57
C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)N,0.33:0.67,44
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.67:0.33,183.6
CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,0.25:0.75,24
C1CC(NC1)C(=O)O,C(C(CO)O)O,0.25:0.75,-31
Cl[Zn]Cl,C[N+](C)(C)CCO.[Cl-],0.67:0.33,24
C[N+](C)(C)CCO.[Cl-],C(CO)O,0.29:0.71,-35.98
C[N+](C)(C)CC(=O)[O-],C1=CC=C(C(=C1)C(=O)O)O,0.40:0.60,-7
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,OCCO,2:1,151.17
C[N+](C)(C)CCO.[Cl-],CC1=CC(=C(C=C1)C(C)C)O,0.33:0.67,67
[Cl-].C[N+](C)(C)CCO,NC(N)=O,1:2,12.70
[Cl-].C[N+](C)(C)CCO,Cc1cccc(O)c1C,2:3,57.35
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.10:0.90,30.59
C(#N)[S-].[NH4+],C(=O)(N)N,0.60:0.40,88.6
C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(C(CO)O)O,0.17:0.83,50.36
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.60:0.40,101.38
C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)O)O)O)O)O,0.67:0.33,31
C(#N)[S-].[NH4+],C1CCC(=O)NCC1,0.75:0.25,136.84
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:1.75,15.65
C[N+](C)(C)CCO.[Cl-],CC1CCC(C(C1)O)C(C)C,0.40:0.60,43.15
O.O.O.O.O.O.[Cl-].[Cl-].[Ca+2],C[N+](C)(C)CCO.[Cl-],0.80:0.20,16.8
CC(C)(C)NCCO.Cl,C(C(CO)O)O,0.20:0.80,2
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.67:0.33,80.43
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(C(CO)O)O,0.40:0.60,-3
CCCCCCCCCC(=O)O,C1=CC=C(C=C1)CCC(=O)O,0.80:0.20,23.23
CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(=O)(N)N,0.33:0.67,36
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(C(CO)O)O,0.20:0.80,-24
C[N+](C)(C)CCO.[Cl-],C1=CC=C(C(=C1)C(=O)O)O,0.80:0.20,232.55
[Cl-].C[N+](C)(C)CCO,Cc1cccc(O)c1C,1:4,43.15
C(#N)[S-].[K+],CC(=O)N,0.50:0.50,118.26
C(#N)[S-].[NH4+],CC(=O)N,0.75:0.25,102.63
CCCCCCCCCC(=O)O,C1=CC=C(C=C1)CCC(=O)O,0.45:0.55,18.32
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.50:0.50,29.16
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCO,1:3,-30.89
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,1:3,-20.05
C[N+](C)(C)CC(=O)[O-],C1=CC=C(C(=C1)C(=O)O)O,0.40:0.60,86.55
CC1=CC(=C(C=C1)C(C)C)O,CCCCCCCCCCCC(=O)O,0.30:0.70,36.21
C[N+](C)(C)CC(CC(=O)O)O,C(=O)(N)N,0.33:0.67,74
C(#N)[S-].[K+],C1CCC(=O)NCC1,0.25:0.75,0.877
C[N+](C)(C)CCO.[Cl-],C(C1C(C(C(C(O1)O)O)O)O)O,0.50:0.50,37
C[N+](C)(C)CCO.[Cl-],C(=O)(N)N,0.33:0.67,12
C[N+](C)(C)CCO.[Cl-],C1=CC(=CC(=C1)O)O,0.50:0.50,6
[Cl-].C[N+](C)(C)CCO,Cc1ccccc1O,399:601,48.65
[Cl-].C[N+](C)(C)CCO,Cc1cccc(O)c1C,1:9,66.65
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.70:0.30,156.38
C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O,0.50:0.50,10
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.60:0.40,23.02
C[N+](C)(C)CC(=O)[O-],CC1CCC(C(C1)O)C(C)C,0.70:0.30,174.35
C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)(CO)O)O)O)O,0.67:0.33,28
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCCCCCCCCCCCC(=O)O,0.80:0.20,48.75
C1=CC=C2C(=C1)C=CC(=O)O2,CC1=CC(=C(C=C1)C(C)C)O,0.33:0.67,30
C[N+](C)(C)CCO.[Cl-],C(COCCOCCOCCO)O,0.29:0.71,-23.79
CCCCCCCCCC(=O)O,C1=CC=C(C=C1)CCC(=O)O,0.90:0.10,26.99
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,NC(=O)C(F)(F)F,2:1,101.54
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NC(=O)C(F)(F)F,2:1,90.58
CC(C)(C)NCCO.Cl,C(C(CO)O)O,0.33:0.67,-1.33
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCOCCOCCO,1:1,17.13
CC1CCC(C(C1)O)C(C)C,CC(C1CCCCC1)C(=O)O,0.10:0.90,10.385
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NC(=O)C(F)(F)F,1:1,63.65
C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,0.50:0.50,8.03
C[N+](C)(C)CCO.[Cl-],CC1CCC(C(C1)O)C(C)C,0.10:0.90,49.25
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NC(=O)C(F)(F)F,1:4,-49.27
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.20:0.80,39.47
C(#N)[S-].[NH4+],CC(=O)N,0.50:0.50,36.84
C[N+](C)(C)CC(=O)[O-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O.O,0.40:0.60,74.83
CC1=CC(=C(C=C1)C(C)C)O,CCCCCCCCCCCC(=O)O,0.40:0.60,31.61
C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)(CO)O)O)O)O,0.29:0.71,93.55
C[N+](C)(C)CC(=O)[O-],CCCCCCCCCCCCCCCCCCO,0.20:0.80,61.65
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CC(=O)O)C(C(=O)O)N,0.11:0.89,30.55
C[N+](C)(C)CCO.[Cl-],C(CCO)CO,0.60:0.40,61.47
CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.80:0.20,22.66
CC(N(C)C)C(O)=O,OCC(O)=O,1:2,-36.00
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,0.14:0.86,-61.99
C[N+](C)(C)CC(=O)[O-],C(C(=O)O)O,0.30:0.70,13
[Cl-].C[N+](C)(C)CCO,Cc1cccc(O)c1C,83:167,50.45
CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,CC1=CC(=C(C=C1)C(C)C)O,0.10:0.90,39.4
CC1CCC(C(C1)O)C(C)C,CC1=CC(=C(C=C1)C(C)C)O,0.80:0.20,22.35
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:8,-3.78
C[N+](C)(C)CCO.[Cl-],C(C(C(C(CO)O)O)O)O,0.60:0.40,2
CC(N(C)C)C(O)=O,OC(=O)c1cccc(Cl)c1,1:1.5,43.0
CC1=CC(=C(C=C1)C(C)C)O,CCCCCCCCCCCC(=O)O,0.60:0.40,30.07
C(#N)[S-].[NH4+],C(=O)(N)N,0.40:0.60,23.85
C[N+](C)(C)CCO.[Cl-],C=CCNC(=O)N,0.33:0.67,9
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(C(C(=O)O)N)C(=O)O,0.10:0.90,25.08
C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,0.50:0.50,88.14
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.33:0.67,3.75
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCCCC(=O)O,0.40:0.60,43.95
C[N+](C)(C)CC(=O)[O-],CC1CCC(C(C1)O)C(C)C,0.50:0.50,98.55
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.10:0.90,53.5
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,0.33:0.67,0
C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,0.33:0.67,77
[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1ccnc1,1:1.5,-62.22
C[N+](C)(C)CCO.[Cl-],C(=O)(N)N,0.29:0.71,30.95
CC(C)(C)NCCO.Cl,C(CO)O,0.20:0.80,-21.67
C[N+](C)(C)CCO.[Cl-],CC1=CC(=C(C(=C1)C)O)C,0.33:0.67,34
C[N+](C)(C)CCO.[Cl-],C(CO)O,0.20:0.80,3.73
C[N+](C)(C)CC(=O)[O-],C1=CC=C(C(=C1)C(=O)O)O,0.80:0.20,138.65
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCCCCCCCCCCO,0.33:0.67,1
