smiles,smiles,ratio,temperature,value
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCCNC(N)=N)C(O)=O,8:1,323.15,982.3
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,CC(O)C(O)=O,1:3,303.15,1113.5
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:3,353.15,1173.2
[Cl-].C[N+](C)(C)CCO,OCCO,1:2.57,303.15,1114.1
[Cl-].C[N+](C)(C)CCO,OC(=O)CC(O)=O,1:2,353.15,1146.6
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,333.15,1097.0
[Cl-].C[N+](C)(C)CCO,OCCO,1:2.03,318.15,1105.9
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:3,353.15,1259.3
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,338.15,1237.0
OC(=O)[C@@H]1CCCN1,CC(O)C(O)=O,1:1,293.15,1265.1
[Cl-].C[N+](C)(C)CCO,Cc1ccccc1O,1:3,298.20,1070.7
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CC(O)=O)C(O)=O,10:1,333.15,941.3
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,313.15,1248.0
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,1:6,308.20,1078.2
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCO,1:4,333.15,1119.0
[Cl-].C[N+](C)(C)CCO,OCC(O)=O,1:1,303.15,1192.0
[Cl-].CC[NH+](CC)CCO,OCC(O)CO,1:3,363.15,1166.1
[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1ccnc1,1:2,343.15,1098.7
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:1,328.15,1140.2
C[N+](C)(C)CC([O-])=O,CC(=O)CCC(O)=O,1:2,298.15,1158.3
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCO,1:4,298.15,1197.5
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,OC(=O)C(O)=O,1:1,328.15,1238.0
[Cl-].CC[NH+](CC)CCO,OCC(O)CO,1:3,313.15,1196.1
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:3,323.15,1280.9
C[N+](C)(C)CC([O-])=O,CC(O)C(O)=O,1:2,323.15,1183.9
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,333.15,1259.0
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCC(O)CO,1:4,313.15,1017.0
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,303.15,1269.0
[Br-].CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,OCC(O)CO,1:2,318.15,1029.5
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2,333.15,1171.9
[Cl-].CC[NH+](CC)CCO,OCCO,1:2,298.15,1099.9
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:5.25,348.15,1183.4
[Cl-].CC(=O)OCC[N+](C)(C)C,CC(=O)CCC(O)=O,1:1,298.15,1140.6
[Cl-].CC[NH+](CC)CCO,OCCO,1:4,328.15,1084.6
